board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
200000200000000000000003200003200003,-2.0,-1.0,True,True,0.0,5.0,2.0,2.0,5.0,0.0,3.0,0.0,4.0,5.564107809213648,5.042738539475765,2.0,1.0,3.0,0.0,0.0,0.0
220220000000000000000030000030000030,2.0,-1.0,True,False,1.5,2.5,0.0,5.0,4.0,1.0,3.0,0.0,3.0,4.6731008902583,4.115400593505533,2.0,0.0,2.0,0.0,1.0,1.0
002200000000000000000000020333020000,0.0,1.0,False,False,1.5,3.0,2.0,2.5,3.0,0.0,4.0,1.0,4.743416490252569,3.6566915689039377,4.018933209353482,1.0,0.0,1.0,1.0,1.0,2.0
033300000000022000000000000020000020,0.0,1.0,False,False,2.5,2.0,3.0,1.5,1.0,2.0,0.0,5.0,3.5355339059327378,3.4929908568534414,3.5071718732132067,0.0,1.0,1.0,1.0,0.0,1.0
003022003000003000000000002200000000,2.0,-1.0,True,False,3.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,4.47213595499958,2.8669818343581808,3.4020332079053137,1.0,0.0,1.0,0.0,1.0,1.0
000000003330000000220000000200000200,0.0,1.0,False,False,1.5,3.0,3.5,1.0,2.0,1.0,1.0,4.0,2.9154759474226504,3.350781059358212,3.2056793553796914,0.0,0.0,0.0,2.0,0.0,2.0
000000333000000000000000020002020002,-2.0,1.0,True,False,3.0,2.0,4.0,0.0,0.0,3.0,1.0,4.0,4.0,4.407536453183663,4.271690968789108,1.0,0.0,1.0,1.0,1.0,2.0
000203000203000003020000020000000000,-2.0,-1.0,True,True,2.0,3.0,1.5,2.5,5.0,0.0,0.0,3.0,3.605551275463989,3.3892716894185657,3.46136488476704,0.0,1.0,1.0,1.0,0.0,1.0
020000020000000022000000000000033300,0.0,1.0,False,False,2.5,2.0,1.0,3.5,1.0,2.0,5.0,0.0,3.8078865529319534,4.257448533299885,4.107594539843908,0.0,1.0,1.0,2.0,0.0,2.0
000020220020000000000000033300000000,0.0,1.0,False,False,2.0,2.5,0.5,4.0,1.0,2.0,4.0,1.0,3.5355339059327378,3.69261542019948,3.640254915443899,0.0,0.0,0.0,2.0,0.0,2.0
000030000030220030000000000000220000,2.0,-1.0,True,False,0.0,4.0,3.5,1.5,4.0,1.0,0.0,3.0,3.0,4.477563925503792,3.985042617002528,1.0,0.0,1.0,1.0,1.0,2.0
000000000000000203000203020003020000,-2.0,-1.0,True,True,2.0,3.0,3.0,1.0,5.0,0.0,2.0,1.0,2.8284271247461903,3.166777342733797,3.0539939367379283,0.0,1.0,1.0,1.0,0.0,1.0
000000000220030000030002030002000000,0.0,-1.0,False,False,4.0,0.5,2.0,2.5,1.0,4.0,2.0,1.0,2.9154759474226504,3.6163454964328494,3.3827223134294493,1.0,0.0,1.0,0.0,0.0,0.0
000000000022000000333000000000000022,2.0,1.0,True,True,4.0,0.0,3.0,2.0,0.0,3.0,3.0,2.0,4.0,4.031128874149275,4.020752582766183,1.0,0.0,1.0,1.0,1.0,2.0
000002022002000000000000000000033300,0.0,1.0,False,False,3.0,1.5,0.5,4.0,1.0,2.0,5.0,0.0,3.5355339059327378,4.71972789367263,4.324996564425999,1.0,1.0,2.0,0.0,0.0,0.0
000030000030022030000000022000000000,2.0,-1.0,True,False,1.0,3.0,3.0,2.0,4.0,1.0,0.0,3.0,2.0,3.2988536207602897,2.865902413840193,0.0,0.0,0.0,0.0,1.0,1.0
002000002000300000302200300000000000,0.0,-1.0,False,False,2.0,2.5,1.5,3.0,0.0,5.0,2.0,1.0,2.549509756796392,2.850781059358212,2.750357291837606,0.0,1.0,1.0,1.0,0.0,1.0
000022000000333000000000200000200000,0.0,1.0,False,False,2.0,2.5,2.0,2.5,0.0,3.0,2.0,3.0,6.363961030678928,3.3618556388582634,4.3625574361318185,2.0,0.0,2.0,0.0,1.0,1.0
000000033300000000020000020000000022,0.0,1.0,False,False,2.5,2.0,4.0,0.5,1.0,2.0,1.0,4.0,3.8078865529319534,3.704786484797777,3.739153174175836,1.0,0.0,1.0,0.0,0.0,0.0
000000200203200203000003000000000000,-2.0,-1.0,True,True,1.5,3.5,1.0,3.0,5.0,0.0,1.0,2.0,3.0,3.543245311684638,3.362163541123092,1.0,1.0,2.0,0.0,0.0,0.0
000000220000000003000003000203000200,0.0,-1.0,False,False,1.5,3.0,2.5,2.0,5.0,0.0,2.0,1.0,4.301162633521313,3.712214450449026,3.908530511473122,0.0,1.0,1.0,2.0,0.0,2.0
220000000000000000000000000022333000,2.0,1.0,True,True,2.0,2.0,2.0,3.0,0.0,3.0,5.0,0.0,5.656854249492381,4.332496377600352,4.773949001564361,1.0,1.0,2.0,1.0,0.0,1.0
003000003000003022000000002200000000,2.0,-1.0,True,False,3.0,1.0,3.0,2.0,2.0,3.0,0.0,3.0,2.8284271247461903,2.8669818343581808,2.8541302644875173,0.0,0.0,0.0,1.0,1.0,2.0
000000000000000020333020000000022000,0.0,1.0,False,False,2.5,2.0,3.5,1.0,0.0,3.0,3.0,2.0,3.5355339059327378,2.55146703897897,2.8794893279635594,1.0,0.0,1.0,0.0,1.0,1.0
200300200300000300000000200000200000,-2.0,-1.0,True,True,0.0,5.0,2.0,2.0,3.0,2.0,0.0,3.0,4.0,3.825576746897776,3.883717831265184,2.0,0.0,2.0,0.0,1.0,1.0
000302000302000300000000000000002200,0.0,-1.0,False,False,3.5,1.0,2.5,2.0,3.0,2.0,0.0,3.0,5.1478150704935,3.0463408434790527,3.746832252483869,2.0,0.0,2.0,0.0,1.0,1.0
000000220000000020000020000000033300,0.0,1.0,False,False,2.0,2.5,1.5,3.0,1.0,2.0,5.0,0.0,3.8078865529319534,3.7367819956875934,3.760483514769048,0.0,1.0,1.0,1.0,0.0,1.0
333000000000000000002200200000200000,0.0,1.0,False,False,1.0,3.5,3.5,1.0,0.0,3.0,0.0,5.0,2.9154759474226504,3.981937097448064,3.626450047439592,1.0,1.0,2.0,0.0,0.0,0.0
003000003002003002200000200000000000,-2.0,-1.0,True,True,2.5,2.5,2.0,2.0,2.0,3.0,0.0,3.0,5.385164807134504,3.1214716919327667,3.87603606366668,2.0,0.0,2.0,0.0,1.0,1.0
000200000202300002300000300000000000,-2.0,-1.0,True,True,4.0,1.0,0.5,3.5,0.0,5.0,2.0,1.0,2.23606797749979,4.562639046204302,3.787115356636131,1.0,1.0,2.0,1.0,0.0,1.0
000000000002003002003000003002000002,-2.0,-1.0,True,True,5.0,0.0,2.5,1.5,2.0,3.0,2.0,1.0,3.0,3.3541019662496847,3.23606797749979,2.0,0.0,2.0,0.0,0.0,0.0
000000022000000000000002033302000000,0.0,1.0,False,False,3.0,1.5,2.0,2.5,1.0,2.0,4.0,1.0,4.301162633521313,3.0413812651491097,3.4613083879398445,1.0,0.0,1.0,0.0,0.0,0.0
003330000000000000002000202000200000,-2.0,1.0,True,False,1.0,4.0,3.5,0.5,2.0,1.0,0.0,5.0,2.23606797749979,4.524190928918122,3.7614832784453447,1.0,1.0,2.0,0.0,0.0,0.0
000000300000300000302200000002000002,0.0,-1.0,False,False,3.5,1.0,3.5,1.0,0.0,5.0,1.0,2.0,2.9154759474226504,4.141376173658363,3.732742764913125,1.0,1.0,2.0,0.0,0.0,0.0
033300000000020000020002000002000000,-2.0,1.0,True,False,3.0,2.0,2.5,1.5,1.0,2.0,0.0,5.0,4.123105625617661,3.651177316106848,3.808486752610453,1.0,1.0,2.0,0.0,0.0,0.0
003330000000000000020000020022000000,0.0,1.0,False,False,2.5,2.0,3.5,1.0,2.0,1.0,0.0,5.0,3.5355339059327378,4.15156537340402,3.946221550913593,0.0,1.0,1.0,1.0,0.0,1.0
000200000200200000200030000030000030,-2.0,-1.0,True,True,1.5,3.5,1.0,3.0,4.0,1.0,3.0,0.0,3.605551275463989,3.956028408649512,3.839202697587672,1.0,0.0,1.0,1.0,1.0,2.0
000000000202300202300000300000000000,-2.0,-1.0,True,True,4.0,1.0,1.0,3.0,0.0,5.0,2.0,1.0,2.0,4.28712761035248,3.5247517402349864,1.0,1.0,2.0,0.0,0.0,0.0
333000000000000000000000022022000000,2.0,1.0,True,True,2.5,1.5,4.0,1.0,0.0,3.0,0.0,5.0,3.0,4.6731008902583,4.115400593505533,0.0,1.0,1.0,1.0,0.0,1.0
030020030020030000000000000002000002,-2.0,-1.0,True,True,4.5,0.5,2.0,2.0,1.0,4.0,0.0,3.0,4.123105625617661,4.178227085758217,4.159853265711365,1.0,0.0,1.0,1.0,1.0,2.0
002200300000300000300000000020000020,0.0,-1.0,False,False,3.0,1.5,2.0,2.5,0.0,5.0,1.0,2.0,4.743416490252569,3.959276342372363,4.220656391665766,1.0,1.0,2.0,1.0,0.0,1.0
